	atlas1	linux		no_ports	192.168.2.81	host
10.0.9.3	portainer_agent.phoi9opu9cpmpasi72bsk15hv.3ybbalegqysghb7bm8h6o438j	linux	02:42:0a:00:09:03	no_ports	192.168.2.81	portainer_internal
10.0.0.10	sablier_sablier.1.69q18gwuk74qwx36q0rj8btyj	linux	02:42:0a:00:00:0a	10000/tcp (internal)	192.168.2.81	ingress
10.0.1.118	sablier_sablier.1.69q18gwuk74qwx36q0rj8btyj	linux	02:42:0a:00:01:76	10000/tcp (internal)	192.168.2.81	traefik-public
10.0.1.115	password_vaultwarden.1.g4c43fsxn1rf2z1lkuwrscjri	linux	02:42:0a:00:01:73	80/tcp (internal)	192.168.2.81	traefik-public
10.0.1.114	flaresolverr_flaresolverr.1.yvctndqd99p6rcfryv4cek5d3	linux	02:42:0a:00:01:72	8191/tcp (internal),8192/tcp (internal)	192.168.2.81	traefik-public
10.0.0.9	influxdb_influxdb.1.yvojo4wf4o09ub49prh2yq7n3	linux	02:42:0a:00:00:09	8086/tcp (internal)	192.168.2.81	ingress
10.0.1.113	influxdb_influxdb.1.yvojo4wf4o09ub49prh2yq7n3	linux	02:42:0a:00:01:71	8086/tcp (internal)	192.168.2.81	traefik-public
10.0.0.8	traefikv3_traefik.1.qe1jsa1y36infxx1506yb30v8	linux	02:42:0a:00:00:08	80/tcp (internal)	192.168.2.81	ingress
10.0.1.112	traefikv3_traefik.1.qe1jsa1y36infxx1506yb30v8	linux	02:42:0a:00:01:70	80/tcp (internal)	192.168.2.81	traefik-public
10.0.20.3	grav_grav.1.vnf4d3vxb76fqvd64imv3balz	linux	02:42:0a:00:14:03	443/tcp (internal),80/tcp (internal)	192.168.2.81	grav_internal
10.0.1.21	grav_grav.1.vnf4d3vxb76fqvd64imv3balz	linux	02:42:0a:00:01:15	443/tcp (internal),80/tcp (internal)	192.168.2.81	traefik-public
10.0.7.3	tools_tools.1.m7pt691x2kwgdvtx4nnbtn2ta	linux	02:42:0a:00:07:03	80/tcp (internal)	192.168.2.81	tools_internal
10.0.1.29	tools_tools.1.m7pt691x2kwgdvtx4nnbtn2ta	linux	02:42:0a:00:01:1d	80/tcp (internal)	192.168.2.81	traefik-public
10.0.12.3	dockwatch_dockwatch-pxsw01.1.utqe9872rtdma3wsd6da5uoqm	linux	02:42:0a:00:0c:03	443/tcp (internal),80/tcp (internal)	192.168.2.81	dockwatch_internal
10.0.1.5	dockwatch_dockwatch-pxsw01.1.utqe9872rtdma3wsd6da5uoqm	linux	02:42:0a:00:01:05	443/tcp (internal),80/tcp (internal)	192.168.2.81	traefik-public
10.0.18.3	diskover_diskover.1.lyixdyvf9emitvvlqxpmmm3pp	linux	02:42:0a:00:12:03	443/tcp (internal),80/tcp (internal)	192.168.2.81	diskover_internal
